datetime,open,high,low,close,volume
2026-03-24 10:55:00+01:00,22525.95,22590.35,22525.95,22571.55,1025
2026-03-24 11:00:00+01:00,22569.75,22575.45,22516.25,22558.55,1240
2026-03-24 11:05:00+01:00,22558.05,22604.95,22557.05,22599.95,1028
2026-03-24 11:10:00+01:00,22601.25,22611.85,22586.75,22596.45,1042
2026-03-24 11:15:00+01:00,22597.45,22608.45,22586.05,22586.95,979
2026-03-24 11:20:00+01:00,22589.05,22595.85,22570.45,22572.45,1026
2026-03-24 11:25:00+01:00,22572.95,22578.85,22542.05,22549.35,1000
2026-03-24 11:30:00+01:00,22547.55,22578.55,22527.05,22535.15,1084
2026-03-24 11:35:00+01:00,22535.45,22602.35,22533.85,22600.75,969
2026-03-24 11:40:00+01:00,22601.75,22634.25,22581.55,22624.75,933
2026-03-24 11:45:00+01:00,22625.25,22637.75,22563.45,22570.75,908
2026-03-24 11:50:00+01:00,22570.05,22599.65,22569.05,22587.15,795
2026-03-24 11:55:00+01:00,22585.65,22589.95,22569.75,22581.25,740
2026-03-24 12:00:00+01:00,22582.65,22602.45,22548.45,22588.35,1235
2026-03-24 12:05:00+01:00,22586.85,22624.15,22584.95,22614.25,903
2026-03-24 12:10:00+01:00,22613.35,22627.45,22606.65,22607.25,733
2026-03-24 12:15:00+01:00,22607.75,22610.75,22561.55,22606.55,928
2026-03-24 12:20:00+01:00,22608.15,22613.05,22595.65,22602.65,788
2026-03-24 12:25:00+01:00,22603.15,22608.45,22573.85,22600.15,847
2026-03-24 12:30:00+01:00,22600.25,22601.15,22571.25,22588.35,753
2026-03-24 12:35:00+01:00,22589.35,22608.15,22571.75,22603.25,710
2026-03-24 12:40:00+01:00,22601.15,22610.45,22581.25,22584.25,750
2026-03-24 12:45:00+01:00,22584.75,22645.65,22584.75,22637.85,742
2026-03-24 12:50:00+01:00,22637.75,22639.15,22500.05,22557.55,1364
2026-03-24 12:55:00+01:00,22557.45,22629.95,22554.65,22625.15,1181
2026-03-24 13:00:00+01:00,22625.05,22637.45,22585.75,22586.95,1063
2026-03-24 13:05:00+01:00,22586.45,22590.45,22545.75,22561.45,953
2026-03-24 13:10:00+01:00,22560.95,22580.15,22536.85,22572.45,849
2026-03-24 13:15:00+01:00,22572.15,22583.85,22559.75,22575.45,823
2026-03-24 13:20:00+01:00,22574.45,22593.45,22558.35,22588.15,1008
2026-03-24 13:25:00+01:00,22586.95,22606.65,22557.95,22560.55,858
2026-03-24 13:30:00+01:00,22560.05,22564.15,22475.45,22488.15,1088
2026-03-24 13:35:00+01:00,22487.75,22505.65,22438.65,22443.35,1116
2026-03-24 13:40:00+01:00,22444.35,22465.65,22433.35,22436.25,1085
2026-03-24 13:45:00+01:00,22435.75,22462.15,22428.45,22437.25,1025
2026-03-24 13:50:00+01:00,22436.95,22477.65,22420.35,22468.35,1312
2026-03-24 13:55:00+01:00,22467.85,22469.65,22420.45,22433.75,983
2026-03-24 14:00:00+01:00,22432.25,22453.45,22420.95,22445.15,1205
2026-03-24 14:05:00+01:00,22445.25,22455.35,22348.45,22381.35,1380
2026-03-24 14:10:00+01:00,22380.85,22444.15,22376.35,22434.65,1160
2026-03-24 14:15:00+01:00,22435.15,22448.75,22412.05,22414.85,1030
2026-03-24 14:20:00+01:00,22415.05,22434.35,22395.45,22396.45,1026
2026-03-24 14:25:00+01:00,22396.95,22424.65,22374.45,22404.65,1086
2026-03-24 14:30:00+01:00,22404.15,22439.15,22381.65,22437.45,1713
2026-03-24 14:35:00+01:00,22437.95,22455.95,22409.45,22422.45,1671
2026-03-24 14:40:00+01:00,22423.45,22438.05,22374.55,22382.95,1423
2026-03-24 14:45:00+01:00,22383.45,22418.85,22356.25,22356.35,1670
2026-03-24 14:50:00+01:00,22358.35,22397.25,22345.25,22387.65,1556
2026-03-24 14:55:00+01:00,22387.15,22448.35,22387.15,22448.35,1467
2026-03-24 15:00:00+01:00,22448.85,22485.75,22444.55,22485.75,1409
2026-03-24 15:05:00+01:00,22486.55,22514.85,22450.75,22498.95,1293
2026-03-24 15:10:00+01:00,22499.45,22514.25,22425.55,22465.95,1420
2026-03-24 15:15:00+01:00,22465.45,22481.35,22438.15,22472.85,1427
2026-03-24 15:20:00+01:00,22473.85,22495.15,22454.55,22471.35,1421
2026-03-24 15:25:00+01:00,22471.85,22493.05,22445.75,22471.45,1312
2026-03-24 15:30:00+01:00,22471.95,22532.65,22465.05,22532.65,1278
2026-03-24 15:35:00+01:00,22531.65,22539.35,22468.95,22487.75,1349
2026-03-24 15:40:00+01:00,22488.25,22521.85,22467.25,22521.85,1248
2026-03-24 15:45:00+01:00,22521.35,22545.35,22481.35,22482.35,1356
2026-03-24 15:50:00+01:00,22480.75,22640.95,22447.25,22589.05,2088
2026-03-24 15:55:00+01:00,22590.55,22643.25,22531.55,22583.45,1989
2026-03-24 16:00:00+01:00,22582.45,22631.35,22573.85,22586.15,1660
2026-03-24 16:05:00+01:00,22585.15,22595.95,22566.85,22576.75,1491
2026-03-24 16:10:00+01:00,22577.45,22596.35,22556.25,22594.05,1363
2026-03-24 16:15:00+01:00,22595.05,22630.45,22588.15,22610.45,1176
2026-03-24 16:20:00+01:00,22611.25,22639.65,22587.55,22636.35,1077
2026-03-24 16:25:00+01:00,22635.35,22655.15,22611.65,22616.35,979
2026-03-24 16:30:00+01:00,22614.35,22628.35,22589.35,22622.45,1138
2026-03-24 16:35:00+01:00,22623.45,22644.05,22619.85,22627.55,859
2026-03-24 16:40:00+01:00,22628.35,22637.55,22620.15,22634.05,869
2026-03-24 16:45:00+01:00,22634.55,22662.25,22626.25,22647.55,767
2026-03-24 16:50:00+01:00,22648.05,22672.55,22646.15,22649.65,744
2026-03-24 16:55:00+01:00,22649.15,22653.35,22553.15,22553.65,1177
2026-03-24 17:00:00+01:00,22556.15,22571.95,22543.55,22554.75,1207
2026-03-24 17:05:00+01:00,22555.25,22585.25,22546.05,22585.25,1001
2026-03-24 17:10:00+01:00,22582.75,22588.05,22553.15,22572.35,1057
2026-03-24 17:15:00+01:00,22571.85,22620.05,22570.85,22620.05,881
2026-03-24 17:20:00+01:00,22619.25,22626.25,22593.05,22617.75,850
2026-03-24 17:25:00+01:00,22618.25,22637.65,22603.15,22637.65,738
2026-03-24 17:30:00+01:00,22637.95,22659.75,22629.25,22635.35,634
2026-03-24 17:35:00+01:00,22637.35,22643.75,22553.75,22557.75,832
2026-03-25 08:00:00+01:00,22861.55,22863.25,22832.05,22832.35,402
2026-03-25 08:05:00+01:00,22833.45,22847.35,22824.05,22830.05,394
2026-03-25 08:10:00+01:00,22831.55,22855.45,22829.85,22846.55,374
2026-03-25 08:15:00+01:00,22846.05,22866.05,22838.85,22856.05,362
2026-03-25 08:20:00+01:00,22855.55,22857.15,22808.55,22810.55,449
2026-03-25 08:25:00+01:00,22811.55,22826.15,22804.45,22826.15,325
2026-03-25 08:30:00+01:00,22825.65,22840.05,22817.05,22824.75,385
2026-03-25 08:35:00+01:00,22824.45,22844.55,22813.25,22844.55,353
2026-03-25 08:40:00+01:00,22844.05,22876.95,22841.25,22863.75,402
2026-03-25 08:45:00+01:00,22864.75,22905.05,22855.55,22897.55,443
2026-03-25 08:50:00+01:00,22898.05,22904.55,22881.05,22895.55,455
2026-03-25 08:55:00+01:00,22896.05,22922.55,22890.55,22921.55,584
2026-03-25 09:00:00+01:00,22922.05,23010.55,22919.15,22998.55,1523
2026-03-25 09:05:00+01:00,22999.05,23045.05,22999.05,23027.85,1542
